figure_id,relative_path,title,alt_text
Extended Data Figure 1,Extended_Data_Figures/Extended_Data_Figure_1_family_disparity_180mm.png,Extended Data Fig. 1. Within-family disparity in trochanteral morphospace.,"(a) Bars show observed family-level mean squared Euclidean distances of specimens from their family centroid in PC1-PC5 morphospace; error bars show bootstrap 95% confidence intervals and labels denote family sample size. These bars are descriptive. The F and P values above panel a come from a related but separate bias-adjusted PERMDISP on unsquared Euclidean distances to family centroids (F = 6.95, P = 0.0038). Pairwise PERMDISP indicated greater dispersion in Anthribidae than in Attelabidae (FDR-adjusted P = 0.0006) and Curculionidae (FDR-adjusted P = 0.0066); other pairwise contrasts were not significant after correction. (b) Rarefied mean-squared-distance estimates after subsampling each family to n = 4 specimens across 5,000 replicates. The preserved rank order indicates that the descriptive pattern was not solely driven by unequal family sample sizes."
Extended Data Figure 2,Extended_Data_Figures/Extended_Data_Figure_2_joint_character_combinations_180mm.png,Extended Data Fig. 2. Observed and missing joint-character combinations across the sampled Curculionoidea.,"(a) Frequency of theoretically possible combinations of four discrete joint characters used in the typology analysis: presence or absence of a trochanteral helix, coxal guide, socket and coxal opening. Blue bars indicate combinations observed in the dataset, whereas grey bars indicate mechanically conceivable but unrealized combinations. (b) Family-level distribution of the observed combinations. Cell values indicate the number of specimens assigned to each family and joint-character combination. Together, the panels show that only a restricted subset of the theoretically possible design space is occupied, and that the dominant combination is broadly represented across sampled Curculionoidea rather than confined to a single family."
Extended Data Figure 3,Extended_Data_Figures/Extended_Data_Figure_3_allometry_180mm.png,Extended Data Fig. 3. Multivariate and univariate allometry of trochanteral shape and robust screw joint geometry.,"(a) Full-shape multivariate allometry score versus log centroid size. The primary RRPP analysis used all 67 non-zero PCs and detected a small but significant effect (R² = 0.070, F = 4.98, Z = 3.52, P = 0.0001). (b,c) Specimen-level relationships of PC1 and PC2 with log centroid size; PC2 remained significant after Holm correction. (d,e) Absolute fitted winding angle and axial span versus log centroid size in the 63-specimen main dataset. Winding angle retained a Holm-corrected size association (R² = 0.150, adjusted P = 0.0305), whereas axial span did not (R² = 0.065, adjusted P = 0.620)."
Extended Data Figure 4,Extended_Data_Figures/Extended_Data_Figure_4_phylogenetic_signal_180mm.png,Extended Data Fig. 4. Phylogenetic signal in trochanteral shape and screw joint geometry.,"Bars show Blomberg’s K and Pagel’s λ under the Grafen primary tree. PC1-PC5 use all 15 shape-only proxy tips; winding angle and axial span use the 14 geometry-bearing tips in the main dataset. Darker bars denote FDR-significant estimates. PC1, PC2 and winding angle showed signal, whereas axial span did not."
Extended Data Figure 5,Extended_Data_Figures/Extended_Data_Figure_5_ancestral_state_reconstructions_180mm.png,Extended Data Fig. 5. Brownian-motion-conditional ancestral-state reconstructions of major trochanter shape and screw geometry variables.,"(a) Fifteen-tip shape-only proxy phylogeny under Grafen branch lengths. (b-f) Brownian-motion (BM)-conditional continuous ancestral-state reconstructions for PC1-PC5 on the same 15-tip tree. (g,h) BM-conditional reconstructions for absolute winding angle and axial span on the 14-tip main geometry dataset, omitting the Nemonychidae proxy tip for which geometry values are unavailable. Branch colours indicate standardized trait scores; raw-scale node estimates and 95% intervals for every displayed trait are reported in Supplementary Table 24. Every map assumes BM for reconstruction; this does not imply that BM was top-ranked in the exploratory evolutionary-model comparisons. Because the maps use sparse proxy sampling, within-tip averaging and broader taxonomic assignments, they are conditional visualizations rather than robust genus-, family- or clade-level reconstructions."
Extended Data Figure 6,Extended_Data_Figures/Extended_Data_Figure_6_evolutionary_model_support_180mm.png,Extended Data Fig. 6. Evolutionary model support for trochanteral shape under the Grafen primary tree.,"(a) ΔAICc among Brownian motion, Ornstein-Uhlenbeck and early-burst univariate models fitted separately to PC1-PC5 at 15 shape-only proxy tips. Brownian motion was top-ranked for PC1 and PC2, whereas Ornstein-Uhlenbeck was top-ranked for PC3-PC5; support for Brownian motion and Ornstein-Uhlenbeck was similar for PC4. (b) ΔAIC among Hessian-reliable multivariate fits at the same 15 shape-only proxy tips. Brownian motion was top-ranked for PC1-PC5 and PC1-PC4; the corresponding early-burst ΔAIC values were 2.79 and 3.24. The PC1-PC5 OU optimizer converged and had the lowest raw AIC, but its Hessian solution was unreliable; the PC1-PC4 OU fit failed. Both OU outcomes are marked separately from the reliable-fit ΔAIC scale, and raw AIC values and diagnostic statuses are retained in Supplementary Table 26. These small-sample comparisons are exploratory and branch-length-dependent."
Figure 1,Main_Figures/Figure_1_phylogeny_and_live_weevils.png,Figure 1. Phylogenetic and morphological diversity of Curculionoidea.,"Simplified family-level phylogenetic framework of the seven weevil families sampled in this study, shown together with representative live habitus images of Curculionidae (Cionus olens), Brentidae (Alissapion sp.), Caridae (Car pini), Attelabidae (Metopum bryophaghum), Belidae (Araiobelus filum), Anthribidae (Commista bispina) and Nemonychidae (Nemonyx lepturoides). Tip and image-frame colours correspond to the family colour coding used throughout the manuscript. Approximate numbers of described genera and species follow the most recent comprehensive taxonomic syntheses available for the respective families [25-27]."
Figure 2,Main_Figures/Figure_2_morphospace_trochanter_meshes_180mm.png,Figure 2. Two-dimensional projections of trochanteral morphospace.,"Trochanteral morphospace shown in two complementary projections, PC1-PC2 and PC2-PC3, with specimens coloured by family. These panels illustrate broad overlap among families, but also show that some lineages occupy relatively distinct portions of shape space in different principal dimensions. An interactive three-dimensional version of the morphospace is provided as Supplementary Data 1. Specimen-level PCA scores underlying the morphospace are provided in Supplementary Table 2."
Figure 3,Main_Figures/Figure_3_PC1_PC5_extrema_heatmap_180mm.png,Figure 3. Major axes of trochanteral shape variation.,"Atlas-based reconstructions of the negative and positive extremes of PC1-PC5 are arranged around the atlas mean shape. Surface colours indicate vertex-wise displacement from the mean shape, with warmer colours marking regions of greater local deviation and cooler colours marking lower deviation. These reconstructions show the main anatomical regions contributing to the first five axes of trochanteral shape variation. Interactive three-dimensional versions of the heatmap reconstructions are provided as Supplementary Data 2, and a morphing animation through the PC extremes and atlas mean is provided as Supplementary Video 1."
Figure 4,Main_Figures/Figure_4_joint_typology.png,Figure 4. Structural typology of the weevil coxa-trochanteral joint.,"Representative three-dimensional reconstructions of the four joint configurations recognized in this study: (a) true screw-and-nut joint, (b) unopposed screw configuration, (c) socket-guided rotational joint and (d) unguided rotational joint. The panels show Acalles fallax, Nanophyes marmoratus, Proterhinus sp. and Ormiscus saltator, respectively. Trochanters are shown in light grey and coxae in dark grey."
Figure 5,Main_Figures/Figure_5_screw_geometry_and_morphospace_180mm.png,Figure 5. Quantification of screw joint geometry.,"(a) Three-dimensional trochanter reconstruction illustrating the principal geometric descriptors of the screw-like articulation. The red curve schematically represents the helical trajectory used to quantify absolute winding angle, and the blue arrow indicates axial span along the screw axis. (b) PC1-PC2 trochanteral morphospace for the 63 trajectories in the main dataset. Points represent individual specimens; colour indicates absolute fitted winding angle and point size indicates fitted axial pitch per 360° turn. Linear measurements are expressed in centroid-size-normalized coordinates. Conditional-bootstrap results used to assess measurement sensitivity are reported in Supplementary Tables 14-15."
Supplementary Figure 1,Supplementary_Figures/Supplementary_Fig_1_variance_explained_principal_components_180mm.png,Supplementary Figure 1. Variance explained by principal components.,Bar plot showing the percentage of total trochanteral shape variation explained by the first 15 of 67 non-zero principal components. Dark blue bars indicate components above the approximately 5% per-axis retention threshold and correspond to PC1-PC5; light blue bars show subsequent lower-variance components.
Supplementary Figure 10,Supplementary_Figures/Supplementary_Fig_10_shape_geometry_fit_quality_diagnostics_180mm.png,Supplementary Figure 10. Shape-geometry association and fit-quality diagnostics in the main dataset.,"(a) Distribution of absolute winding angle. (b) Relationship between winding angle and helix RMS. (c) PC1-PC2 morphospace coloured by helix RMS. (d) PC1-PC2 morphospace coloured by winding angle, with point size scaled by helix RMS. (e) Relationship between winding angle and helix RMS normalised by fitted radius. (f) Relationship between winding angle and PC1 within the main morphospace region."
Supplementary Figure 11,Supplementary_Figures/Supplementary_Fig_11_axial_screw_geometry_relationships_180mm.png,Supplementary Figure 11. Axial relationships among screw joint geometry variables.,"Relationships of absolute winding angle with axial span (a) and fitted axial pitch per 360° (b) across the 63 trajectories in the main dataset. Both panels use the untransformed measurement scales; the fitted lines and reported statistics are from the same ordinary least-squares point models. The angle-span relationship was strong (R² = 0.504, P = 7.34 × 10⁻¹¹), whereas the angle-pitch relationship was unsupported (R² = 0.022, P = 0.247)."
Supplementary Figure 12,Supplementary_Figures/Supplementary_Fig_12_PGLS_shape_vs_axial_span_180mm.png,Supplementary Figure 12. Phylogenetically informed relationships between trochanteral shape and axial span.,"PGLS relationships under the topology-based Grafen primary tree linking PC1 and PC2 to axial span at 14 matched proxy tips in the main dataset. The PC1 slope (a) was negative and nominally significant (β = -0.473, raw P = 0.039) but not after false-discovery-rate correction (FDR-adjusted P = 0.177). PC2 (b) was unsupported. Analyses across 15 tree representations and leave-one-out refits show that the PC1 result is tree- and influence-sensitive."
Supplementary Figure 13,Supplementary_Figures/Supplementary_Fig_13_screw_geometry_by_joint_type_180mm.png,Supplementary Figure 13. Screw joint geometry across structural joint types.,"Comparison of absolute winding angle, fitted axial pitch and axial span between 57 true screw-and-nut joints and three unopposed screw configurations in the main dataset. Winding angle (a) differed nominally (P = 0.0202) but not after correction (adjusted P = 0.0605); pitch (b) (P = 0.387) and span (c) (P = 0.317) were unsupported. Because group sizes were highly unequal, the boxplots and comparisons are exploratory."
